lake	month	origin	lake_origin	replicate	samples	month_full	Temperature_median	Salinity_median	Oxygen_median	pH_median	Chla_median	PROK_1_median	PROK_2_median	LARGE_CELLS_median	VLP_TOT_median	CELLS_TOT_median	TPN	TPC	TPC.TPN	Secchi	NH4	PO4	NO3_N02
TRI.B.GAR.GUT6	CRJ2	B	LEP	CRJ2_LEP	GUT6	TRI-B-GAR-GUT6	July	24.1	0.1	115	8.8	6.51	1678857.14285714	815238.095238095	67428.5714285714	57557714.2857143	2564952.38095238	0.0509316	0.3514796	6.90101233811622	3.5	0.48070048	0.139	39.2
TRI.B.GAR.GUT7	CRJ2	B	LEP	CRJ2_LEP	GUT7	TRI-B-GAR-GUT7	July	24.1	0.1	115	8.8	6.51	1678857.14285714	815238.095238095	67428.5714285714	57557714.2857143	2564952.38095238	0.0509316	0.3514796	6.90101233811622	3.5	0.48070048	0.139	39.2
TRI.B.GAR.GUT8	CRJ2	B	LEP	CRJ2_LEP	GUT8	TRI-B-GAR-GUT8	July	24.1	0.1	115	8.8	6.51	1678857.14285714	815238.095238095	67428.5714285714	57557714.2857143	2564952.38095238	0.0509316	0.3514796	6.90101233811622	3.5	0.48070048	0.139	39.2
TRI.B.GAR.GUT9	CRJ2	B	LEP	CRJ2_LEP	GUT9	TRI-B-GAR-GUT9	July	24.1	0.1	115	8.8	6.51	1678857.14285714	815238.095238095	67428.5714285714	57557714.2857143	2564952.38095238	0.0509316	0.3514796	6.90101233811622	3.5	0.48070048	0.139	39.2
TRI.B.PER.GUT10	CRJ2	B	PER	CRJ2_PER	GUT10	TRI-B-PER-GUT10	July	24.1	0.1	115	8.8	6.51	1678857.14285714	815238.095238095	67428.5714285714	57557714.2857143	2564952.38095238	0.0509316	0.3514796	6.90101233811622	3.5	0.48070048	0.139	39.2
TRI.B.PER.GUT1	CRJ2	B	PER	CRJ2_PER	GUT1	TRI-B-PER-GUT1	July	24.1	0.1	115	8.8	6.51	1678857.14285714	815238.095238095	67428.5714285714	57557714.2857143	2564952.38095238	0.0509316	0.3514796	6.90101233811622	3.5	0.48070048	0.139	39.2
TRI.B.PER.GUT2	CRJ2	B	PER	CRJ2_PER	GUT2	TRI-B-PER-GUT2	July	24.1	0.1	115	8.8	6.51	1678857.14285714	815238.095238095	67428.5714285714	57557714.2857143	2564952.38095238	0.0509316	0.3514796	6.90101233811622	3.5	0.48070048	0.139	39.2
TRI.B.GAR.GUT10	CRJ2	B	LEP	CRJ2_LEP	GUT10	TRI-B-GAR-GUT10	July	24.1	0.1	115	8.8	6.51	1678857.14285714	815238.095238095	67428.5714285714	57557714.2857143	2564952.38095238	0.0509316	0.3514796	6.90101233811622	3.5	0.48070048	0.139	39.2
TRI.B.GAR.GUT1	CRJ2	B	LEP	CRJ2_LEP	GUT1	TRI-B-GAR-GUT1	July	24.1	0.1	115	8.8	6.51	1678857.14285714	815238.095238095	67428.5714285714	57557714.2857143	2564952.38095238	0.0509316	0.3514796	6.90101233811622	3.5	0.48070048	0.139	39.2
TRI.B.GAR.GUT2	CRJ2	B	LEP	CRJ2_LEP	GUT2	TRI-B-GAR-GUT2	July	24.1	0.1	115	8.8	6.51	1678857.14285714	815238.095238095	67428.5714285714	57557714.2857143	2564952.38095238	0.0509316	0.3514796	6.90101233811622	3.5	0.48070048	0.139	39.2
TRI.B.GAR.GUT3	CRJ2	B	LEP	CRJ2_LEP	GUT3	TRI-B-GAR-GUT3	July	24.1	0.1	115	8.8	6.51	1678857.14285714	815238.095238095	67428.5714285714	57557714.2857143	2564952.38095238	0.0509316	0.3514796	6.90101233811622	3.5	0.48070048	0.139	39.2
TRI.B.GAR.GUT4	CRJ2	B	LEP	CRJ2_LEP	GUT4	TRI-B-GAR-GUT4	July	24.1	0.1	115	8.8	6.51	1678857.14285714	815238.095238095	67428.5714285714	57557714.2857143	2564952.38095238	0.0509316	0.3514796	6.90101233811622	3.5	0.48070048	0.139	39.2
TRI.B.GAR.GUT5	CRJ2	B	LEP	CRJ2_LEP	GUT5	TRI-B-GAR-GUT5	July	24.1	0.1	115	8.8	6.51	1678857.14285714	815238.095238095	67428.5714285714	57557714.2857143	2564952.38095238	0.0509316	0.3514796	6.90101233811622	3.5	0.48070048	0.139	39.2
TRI.B.PER.GUT3	CRJ2	B	PER	CRJ2_PER	GUT3	TRI-B-PER-GUT3	July	24.1	0.1	115	8.8	6.51	1678857.14285714	815238.095238095	67428.5714285714	57557714.2857143	2564952.38095238	0.0509316	0.3514796	6.90101233811622	3.5	0.48070048	0.139	39.2
CTL.B.GAR.GUT6	CTL	B	LEP	CTL_LEP	GUT6	CTL-B-GAR-GUT6	July	25.2	0.7	165	8.6	16.18	1.7e+09	1298285.71428571	179142.857142857	15280571.4285714	3171428.57142857	0.1430612	1.0725416	7.4970823675462	1.8	4.751102608	0.023	36.006
CTL.B.GAR.GUT7	CTL	B	LEP	CTL_LEP	GUT7	CTL-B-GAR-GUT7	July	25.2	0.7	165	8.6	16.18	1.7e+09	1298285.71428571	179142.857142857	15280571.4285714	3171428.57142857	0.1430612	1.0725416	7.4970823675462	1.8	4.751102608	0.023	36.006
CTL.B.GAR.GUT8	CTL	B	LEP	CTL_LEP	GUT8	CTL-B-GAR-GUT8	July	25.2	0.7	165	8.6	16.18	1.7e+09	1298285.71428571	179142.857142857	15280571.4285714	3171428.57142857	0.1430612	1.0725416	7.4970823675462	1.8	4.751102608	0.023	36.006
