"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV_123","d__Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Tsukamurellaceae","Tsukamurella",NA
"ASV_124","d__Bacteria",NA,NA,NA,NA,NA,NA
"ASV_125","d__Bacteria",NA,NA,NA,NA,NA,NA
"ASV_126","d__Bacteria","Bacteroidota","Ignavibacteria","Ignavibacteriales","Ignavibacteriaceae","Ignavibacterium","uncultured_prokaryote"
"ASV_127","d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae",NA,NA
"ASV_128","d__Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Phenylobacterium",NA
"ASV_129","d__Bacteria","Firmicutes","Clostridia","Clostridia","Hungateiclostridiaceae","uncultured",NA
"ASV_130","d__Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides_paurosaccharolyticus"
"ASV_131","d__Bacteria",NA,NA,NA,NA,NA,NA
"ASV_132","d__Bacteria","Bacteroidota","Rhodothermia","Rhodothermales","Rhodothermaceae","uncultured","uncultured_Bacteroidetes"
"ASV_133","d__Bacteria","Cyanobacteria","Sericytochromatia","Sericytochromatia","Sericytochromatia","Sericytochromatia","uncultured_bacterium"
"ASV_134","d__Bacteria","Patescibacteria","Gracilibacteria","Candidatus_Peribacteria","Candidatus_Peribacteria","Candidatus_Peribacteria","metagenome"
"ASV_135","d__Bacteria","Firmicutes","Clostridia","Clostridia_vadinBB60_group","Clostridia_vadinBB60_group","Clostridia_vadinBB60_group","uncultured_bacterium"
"ASV_136","d__Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","NS9_marine_group","NS9_marine_group","uncultured_bacterium"
"ASV_137","d__Bacteria","Actinobacteriota","Actinobacteria","Propionibacteriales","Propionibacteriaceae","Cutibacterium",NA
"ASV_138","d__Bacteria","Patescibacteria","Dojkabacteria","Dojkabacteria","Dojkabacteria","Dojkabacteria","uncultured_bacterium"
"ASV_139","d__Bacteria",NA,NA,NA,NA,NA,NA
"ASV_140","d__Bacteria","Verrucomicrobiota","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae","Pedosphaeraceae","uncultured_bacterium"
"ASV_141","d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Polynucleobacter","Polynucleobacter_cosmopolitanus"
"ASV_142","d__Bacteria",NA,NA,NA,NA,NA,NA
"ASV_143","d__Bacteria","Planctomycetota","Phycisphaerae","Phycisphaerales","Phycisphaeraceae","CL500-3","uncultured_bacterium"
"ASV_144","d__Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Cyanobium_PCC-6307",NA
"ASV_145","d__Bacteria","Bacteroidota","Kryptonia","Kryptoniales","BSV26","BSV26","unidentified_eubacterium"
"ASV_146","d__Bacteria","Verrucomicrobiota","Verrucomicrobiae","Opitutales","Opitutaceae","Lacunisphaera","mine_drainage"
"ASV_147","d__Bacteria","Verrucomicrobiota","Verrucomicrobiae","Chthoniobacterales","Chthoniobacteraceae","LD29","uncultured_marine"
"ASV_148","d__Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Nostocaceae","Nostoc_PCC-7524",NA
"ASV_149","d__Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Pleomorphomonadaceae","Chthonobacter",NA
"ASV_150","d__Bacteria","Acidobacteriota","Aminicenantia","Aminicenantales","Aminicenantales","Aminicenantales","uncultured_soil"
"ASV_151","d__Bacteria","Bacteroidota","Kryptonia","Kryptoniales","BSV26","BSV26","uncultured_bacterium"
"ASV_152","d__Bacteria",NA,NA,NA,NA,NA,NA
