sample;lake;month;origin;lake_origin;replicate;samples
TRI-B-PER-GUT5;CRJ2;B;PER;CRJ2_PER;GUT5;TRI-B-PER-GUT5
TRI-B-PER-GUT6;CRJ2;B;PER;CRJ2_PER;GUT6;TRI-B-PER-GUT6
TRI-B-PER-GUT7;CRJ2;B;PER;CRJ2_PER;GUT7;TRI-B-PER-GUT7
TRI-B-PER-GUT8;CRJ2;B;PER;CRJ2_PER;GUT8;TRI-B-PER-GUT8
TRI-B-PER-GUT9;CRJ2;B;PER;CRJ2_PER;GUT9;TRI-B-PER-GUT9
VAI-B-GAR-GUT10;VAI;B;LEP;VAI_LEP;GUT10;VAI-B-GAR-GUT10
VAI-B-GAR-GUT1;VAI;B;LEP;VAI_LEP;GUT1;VAI-B-GAR-GUT1
VAI-B-GAR-GUT2;VAI;B;LEP;VAI_LEP;GUT2;VAI-B-GAR-GUT2
VAI-B-GAR-GUT3;VAI;B;LEP;VAI_LEP;GUT3;VAI-B-GAR-GUT3
VAI-B-GAR-GUT4;VAI;B;LEP;VAI_LEP;GUT4;VAI-B-GAR-GUT4
VAI-B-GAR-GUT5;VAI;B;LEP;VAI_LEP;GUT5;VAI-B-GAR-GUT5
VAI-B-GAR-GUT6;VAI;B;LEP;VAI_LEP;GUT6;VAI-B-GAR-GUT6
VAI-B-GAR-GUT7;VAI;B;LEP;VAI_LEP;GUT7;VAI-B-GAR-GUT7
VAI-B-GAR-GUT8;VAI;B;LEP;VAI_LEP;GUT8;VAI-B-GAR-GUT8
VAI-B-GAR-GUT9;VAI;B;LEP;VAI_LEP;GUT9;VAI-B-GAR-GUT9
VAI-B-W1-ADN1;VAI;B;WATER;VAI_WATER;W1;VAI-B-W1-ADN1
VAI-B-W2-ADN1;VAI;B;WATER;VAI_WATER;W2;VAI-B-W2-ADN1
VAI-B-W2-SED1;VAI;B;SED;VAI_SED;SED1;VAI-B-W2-SED1
VAI-B-W3-ADN1;VAI;B;WATER;VAI_WATER;W3;VAI-B-W3-ADN1
VER-B-GAR-GUT10;VER;B;LEP;VER_LEP;GUT10;VER-B-GAR-GUT10
VER-B-GAR-GUT1;VER;B;LEP;VER_LEP;GUT1;VER-B-GAR-GUT1
VER-B-GAR-GUT2;VER;B;LEP;VER_LEP;GUT2;VER-B-GAR-GUT2
VER-B-GAR-GUT3;VER;B;LEP;VER_LEP;GUT3;VER-B-GAR-GUT3
VER-B-GAR-GUT4;VER;B;LEP;VER_LEP;GUT4;VER-B-GAR-GUT4
VER-B-GAR-GUT5;VER;B;LEP;VER_LEP;GUT5;VER-B-GAR-GUT5
VER-B-GAR-GUT6;VER;B;LEP;VER_LEP;GUT6;VER-B-GAR-GUT6
VER-B-GAR-GUT7;VER;B;LEP;VER_LEP;GUT7;VER-B-GAR-GUT7
VER-B-GAR-GUT8;VER;B;LEP;VER_LEP;GUT8;VER-B-GAR-GUT8
VER-B-GAR-GUT9;VER;B;LEP;VER_LEP;GUT9;VER-B-GAR-GUT9
VER-B-PER-GUT10;VER;B;PER;VER_PER;GUT10;VER-B-PER-GUT10
VER-B-PER-GUT1;VER;B;PER;VER_PER;GUT1;VER-B-PER-GUT1
VER-B-PER-GUT2;VER;B;PER;VER_PER;GUT2;VER-B-PER-GUT2
